doctors_name,doctors_location,doctors_profession,doctors_rating,doctors_number,doctors_cost,specialty
Dr. Sonali Nilesh Kakade,"Pimpri-Chinchwad,",Dentist,100%,912071177306.0,₹300,Dentists
Dr. Deepinder Singh Duggal,"Camp,",Dentist,99%,917971262095.0,₹500,Dentists
Dr. Kathade Anjali Sudhakar,"Hadapsar,",Dentist,unavailable,912048553263.0,₹400,Dentists
Dr. Vaidehi Khandare,"Pimple Saudagar,",Dentist,unavailable,912071533824.0,₹200,Dentists
Dr. Nikhil Jain,"Rasta Peth,",Dentist,unavailable,912071185853.0,₹500,Dentists
Dr. Harshada Karjatkar,"Erandwane,",Dentist,unavailable,912048552971.0,₹300,Dentists
Dr. Ajinkya Sudhir Pandit,"Baner,",Dentist,unavailable,912071171359.0,₹500,Dentists
Dr. Ashwini P,"Wakad,",Dentist,100%,918037321279.0,₹200,Dentists
Dr. Ruhamah Nelson,"Wakad,",Dentist,100%,912071188518.0,₹200,Dentists
Dr. Ritesh Khandelwal,"Lonavala,",Dentist,93%,918037298998.0,₹200,Dentists
Dr. Aishwarya Deshmukh,"Kharadi,",Dentist,unavailable,918037298995.0,₹300,Dentists
Dr. Ajinkya S. Patil,"Baner,",Dentist,100%,918037298997.0,₹800,Dentists
Dr. Anisha Kulkarni,"Kondhwa,",Dentist,99%,912071187259.0,₹400,Dentists
Dr. Ruchika Srivastava,"Aundh,",Dentist,unavailable,912048553249.0,₹600,Dentists
Dr. Danish Virani,"Koregaon Park,",Dentist,100%,unavailable,"This fee is indicative and might vary.
NOTE: Fees is payable at clinic. There are NO charges for booking an appointment.",Dentists
Dr. Archana Ghai,"Amnora Park Town,",Dentist,100%,unavailable,"This fee is indicative and might vary.
NOTE: Fees is payable at clinic. There are NO charges for booking an appointment.",Dentists
Dr. Sayali Khomane Patil,"Balewadi,",Dentist,94%,unavailable,"This fee is indicative and might vary.
NOTE: Fees is payable at clinic. There are NO charges for booking an appointment.",Dentists
Dr. Reshma Sakharkar Patil,"Pimple Saudagar,",Dentist,100%,unavailable,₹300,Dentists
Dr. Kush Sahu,"Wakad,",Dentist,100%,unavailable,₹400,Dentists
Dr. Ketkee Asnani,"Bund Garden,",Dentist,99%,unavailable,₹300,Dentists
Dr. Deepak Kaul,"Swargate,",Dentist,97%,912071177299.0,₹200,Dentists
Dr. Sharath Shetty,"Pimpri-Chinchwad,",Dentist,93%,912071177299.0,₹100,Dentists
Dr. Shweta Rathi,"Magarpatta City,",Dentist,98%,912071177299.0,₹300,Dentists
Dr. Priyanka Tidke,"Viman Nagar,",Dentist,100%,912048553253.0,₹300,Dentists
Dr. Aabha Agarkar,"Aundh,",Dentist,100%,912048553253.0,₹300,Dentists
Dr. Sagar Jangam,"Pimpri-Chinchwad,",Dentist,100%,912048553261.0,₹600,Dentists
Dr. Ashvini Phadnis,"Aundh,",Dentist,100%,917969201437.0,₹400,Dentists
Dr. Shriram Kshirsagar,"Hadapsar,",Dentist,96%,917969201437.0,₹200,Dentists
Dr. Yogesh Pandit,"Baner,",Dentist,93%,918037285150.0,₹500,Dentists
Dr. Ashish Chinchanikar,"Dhayari,",Dentist,98%,918037285150.0,₹300,Dentists
Dr. Swapnil K. Rachha,"Kothrud,",Dentist,99%,912048553251.0,₹400,Dentists
Dr. Anjali Mendhe,"Kharadi,",Dentist,100%,912048553251.0,₹200,Dentists
Dr. Peter Dhanraj,"Bhosari,",Dentist,100%,912048553251.0,₹500,Dentists
Dr. Prajakta Chaudhari,"Bibvewadi,",Dentist,100%,912071177320.0,₹500,Dentists
Dr. Kranti Pawar,"Nigdi-Pradhikaran,",Dentist,100%,unavailable,₹300,Dentists
Dr. Sandhya W,"Kharadi,",Dentist,unavailable,unavailable,₹200,Dentists
Dr. Reshma Deshpande,"Pimple Saudagar,",Dentist,100%,918037298997.0,₹300,Dentists
Dr. Rupali G,"Kharadi,",Dentist,unavailable,918037298997.0,₹200,Dentists
Dr. Madhura Kaluskar Burute,"Pimpri-Chinchwad,",Dentist,100%,912071533870.0,₹200,Dentists
Dr. Priyanka Mittal,"Khadki,",Dentist,unavailable,912071533870.0,₹200,Dentists
Dr. Priyanka Pawal Badge,"Kharadi,",Dentist,100%,912071533870.0,₹200,Dentists
Dr. Ninad Muley,"Aundh,",Dentist,100%,912071179000.0,₹500,Dentists
Dr. Devanshi Sharma,"BT Kawade Road,",Dentist,unavailable,912071179000.0,₹350,Dentists
Dr. Sayani Maity,"Pimple Saudagar,",Dentist,100%,912071179000.0,₹300,Dentists
Dr. Gurleen kaur,"Kharadi,",Dentist,100%,912071179000.0,₹300,Dentists
Dr. Rupali Gakhare,"Bhugaon,",Dentist,100%,912071173265.0,₹300,Dentists
Dr. Tejas Agarwwal,"Nigdi-Pradhikaran,",Dentist,100%,912071173265.0,₹400,Dentists
Dr. Glory Fengade,"Hinjewadi,",Dentist,94%,912048552971.0,₹300,Dentists
Dr. Krupali Oswal,"Camp,",Dentist,unavailable,912048552971.0,₹300,Dentists
Dr. Sanjana Sethi,"Kothrud,",Dentist,unavailable,912048552971.0,₹200,Dentists
Dr. Onkar Jabade,"Kasba Peth,",Dentist,unavailable,912048552971.0,₹300,Dentists
Dr. Neha Bhandari,"Aundh,",Dentist,unavailable,912048552971.0,₹500,Dentists
Dr. L K Desai,"Sopan Baug,",Dermatologist,93%,912048552428.0,₹700,Dermatologist
Dr. Mohan Nalawade,"Aundh,",Dermatologist,92%,912048553621.0,₹700,Dermatologist
Dr. Pooja Malekar,"FC Road,",Dermatologist,88%,917969201774.0,₹600,Dermatologist
Dr. Amit Pal,"Pimple Saudagar,",Dermatologist,97%,917969201702.0,₹600,Dermatologist
Dr. Renu Jadhav,"Hadapsar,",Dermatologist,91%,912241642354.0,₹700,Dermatologist
Dr. Satywan Chaure,"Deccan Gymkhana,",Dermatologist,90%,917969200912.0,₹700,Dermatologist
Dr. Rangoli Jirwankar,"Wagholi,",Dermatologist,82%,917971171378.0,₹1000,Dermatologist
Dr. Avinash Urmil,"Wanowrie,",Dermatologist,79%,912048556145.0,₹700,Dermatologist
Dr. Anupama,"Hinjewadi,",Dermatologist,100%,917971172076.0,₹600,Dermatologist
Dr. Vijay Nagdev,"Pimpri-Chinchwad,",Dermatologist,92%,917969141845.0,₹1200,Dermatologist
Dr. Gautam Kumar Singh,"Undri,",Dermatologist,100%,917969142005.0,₹700,Dermatologist
Dr. Gauri Patil,"Wakad,",Dermatologist,92%,917969142005.0,₹700,Dermatologist
Dr. Rashmi Gujalwar,"Pimple Saudagar,",Dermatologist,96%,918037320707.0,₹700,Dermatologist
Dr. Nitin Jain,"Kothrud,",Dermatologist,96%,912048564517.0,₹800,Dermatologist
Dr. Nitin Maske,"Baner Road,",Dermatologist,94%,917969141650.0,₹600,Dermatologist
Dr. Mamta Patil,"Wakad,",Dermatologist,79%,917971115381.0,₹600,Dermatologist
Dr. K R Chandvania,"Pimpri-Chinchwad,",Dermatologist,82%,917969141960.0,₹1000,Dermatologist
Dr. Pradeep Kumari,"Viman Nagar,",Dermatologist,95%,912048564510.0,₹800,Dermatologist
Dr. Hina Kherajani,"Pimple Saudagar,",Dermatologist,95%,912048552295.0,₹800,Dermatologist
Dr. Rajshree Patil,"Aundh,",Dermatologist,90%,912048553254.0,₹700,Dermatologist
Dr. Keerti Verma,"Shivajinagar,",Dermatologist,100%,912071173266.0,₹900,Dermatologist
Dr. Rohan Anand,"Koregaon Park,",Dermatologist,91%,917969201217.0,₹1000,Dermatologist
Dr. Amrin Jibrail Diwan,"Kalyani Nagar,",Dermatologist,97%,912071533850.0,₹900,Dermatologist
Dr. Nandini Teli,"Wakad,",Dermatologist,91%,912241642400.0,₹1000,Dermatologist
Dr. Snehal Navande,"Baner Road,",Dermatologist,89%,917971262119.0,₹750,Dermatologist
Dr. Pradeep Patil,"Baner,",Dermatologist,99%,917969201312.0,₹875,Dermatologist
Dr. Patil Leena Rajendra,"Kharadi,",Dermatologist,96%,917969201427.0,₹500,Dermatologist
Dr. Solanki Hemalata Suresh,"Kalyani Nagar,",Dermatologist,100%,918037298998.0,₹900,Dermatologist
Dr. V J Tannu,"Budhwar Peth,",Dermatologist,84%,917969142011.0,₹800,Dermatologist
Dr. Arshi Farista,"Kharadi,",Dermatologist,71%,912071189373.0,₹750,Dermatologist
Dr. Madhavi Zende,"Wakad,",Dermatologist,89%,912071177419.0,₹700,Dermatologist
Dr. Rupal Phate,"Kalyani Nagar,",Dermatologist,100%,917971261949.0,₹900,Dermatologist
Dr. Shilpa Mary Shaji,"Kalyani Nagar,",Dermatologist,96%,912071173265.0,₹900,Dermatologist
Dr. Snehal Pardeshi,"Pimpri-Chinchwad,",Dermatologist,unavailable,918037320343.0,₹1000,Dermatologist
Dr. Inderpreet Mahendra,"Viman Nagar,",Dermatologist,92%,912241642341.0,₹700,Dermatologist
Dr. Shveta Sharma,"Kharadi,",Dermatologist,93%,917969200925.0,₹900,Dermatologist
Dr. Preet Raut,"Wakad,",Dermatologist,unavailable,912071187803.0,₹700,Dermatologist
Dr. Shruti Dewang,"Baner,",Dermatologist,100%,917971261838.0,₹600,Dermatologist
Dr. Mayank Lagoo,"Kalyani Nagar,",Dermatologist,88%,914049174245.0,₹900,Dermatologist
Dr. Ramagauri Pawar,"Kalyani Nagar,",Dermatologist,100%,912048566752.0,₹900,Dermatologist
Dr. Madhur Eshwar Rao Basude,"Nigdi-Pradhikaran,",Dermatologist,78%,912048553256.0,₹750,Dermatologist
Dr. Varun Shrivastava,"Viman Nagar,",Dermatologist,100%,912071171335.0,₹800,Dermatologist
Dr. Sadhana Jadhavar,"Pimpri-Chinchwad,",Dermatologist,93%,912071171335.0,₹400,Dermatologist
Dr. Vaishalee Kirane,"Pimpri-Chinchwad,",Dermatologist,90%,917971115369.0,₹1000,Dermatologist
Dr. Gunjan Chavan,"Pimple Saudagar,",Dermatologist,96%,917971115369.0,₹600,Dermatologist
Dr. Anagha Dudhbhate,"Erandwane,",Dermatologist,98%,917971115369.0,₹800,Dermatologist
Dr. Rashmi Soni Lohiya,"Senapati Bapat Marg,",Dermatologist,91%,917971115369.0,₹700,Dermatologist
Dr. Karuna Soni,"Baner,",Dermatologist,98%,912248905402.0,₹1000,Dermatologist
Dr. Aarushi Kinjalk,"Viman Nagar,",Dermatologist,100%,912248905402.0,₹700,Dermatologist
Dr. Silky Priya,"Wanwadi,",Dermatologist,86%,912248905402.0,₹400,Dermatologist
Dr. Abdul Mateen M Ayyub,"Wanowrie,",Dermatologist,96%,912071173266.0,₹650,Dermatologist
Dr. Sanvedana M Danej,"Baner,",Dermatologist,92%,912071173266.0,"This fee is indicative and might vary.
NOTE: Fees is payable at clinic. There are NO charges for booking an appointment.",Dermatologist
Dr. Amit Kothekar,"Wakad,",Dermatologist,85%,918037321067.0,₹700,Dermatologist
Dr. Shravani Patil,"Wakad,",Dermatologist,100%,917971262818.0,₹600,Dermatologist
Dr. Praneet Awake,"Baner,",Dermatologist,82%,917971262002.0,₹600,Dermatologist
Dr. Chinmay Ratkanthiwar,"Kharadi,",Dermatologist,unavailable,917971171381.0,₹750,Dermatologist
Dr. Piyush Lodha,"Shankar Shet Road,",Endocrinologist,97%,unavailable,₹1000,Endocrinologist
Dr. Charushila Dhole,"Pimpri-Chinchwad,",Endocrinologist,100%,918037320530.0,₹1000,Endocrinologist
Dr. Sachin Pandit,"Wakad,",Endocrinologist,unavailable,918037320530.0,₹650,Endocrinologist
Dr. Uday Phadke,"Kothrud,",Endocrinologist,90%,918037320530.0,₹1500,Endocrinologist
Dr. Harshal Ekatpure,"Dhole Patil Road,",Endocrinologist,91%,918037320530.0,₹1200,Endocrinologist
Dr. Suhas Khaire,"Hadapsar,",Endocrinologist,100%,918037320530.0,Free Consultation,Endocrinologist
Dr. Vinayak Harale,"Akurdi,",Endocrinologist,99%,918037320530.0,₹700,Endocrinologist
Dr. Varsha Jagtap,"Tilak Road,",Endocrinologist,92%,918037320530.0,₹1200,Endocrinologist
Dr. A G Unnikrishnan,"Bavdhan,",Endocrinologist,95%,918037320530.0,₹1400,Endocrinologist
Dr. Tanvi Parikh,"Model Colony,",Endocrinologist,97%,918037320530.0,₹1000,Endocrinologist
Dr. Harshal Ekatpure,"Dhole Patil Road,",Endocrinologist,unavailable,unavailable,Free Consultation,Endocrinologist
Dr. Manoj M.Bauskar,"Wanowrie,",Ear-Nose-Throat (ENT) Specialist,90%,912048556145.0,₹800,Ent Specialist
Dr. Rupali Gulavani,"Baner,",Ear-Nose-Throat (ENT) Specialist,87%,912048556927.0,₹1000,Ent Specialist
Dr. P K Bhagat,"Dhankawadi,",Ear-Nose-Throat (ENT) Specialist,unavailable,912048556246.0,₹1100,Ent Specialist
Dr. Manohar Suryawanshi,"Bhosari,",Ear-Nose-Throat (ENT) Specialist,unavailable,917949108205.0,₹500,Ent Specialist
Dr. Jaya Kochure,"Pimpri-Chinchwad,",Ear-Nose-Throat (ENT) Specialist,89%,912048553257.0,₹1000,Ent Specialist
Dr. Sarang Deshmukh,"Kharadi,",Ear-Nose-Throat (ENT) Specialist,89%,912048564480.0,₹1000,Ent Specialist
Dr. Sumitpal Bhatti,"Dapodi,",Ear-Nose-Throat (ENT) Specialist,82%,912241642433.0,₹1500,Ent Specialist
Dr. Ajinkya Kelkar,"JM Road,",Ear-Nose-Throat (ENT) Specialist,94%,912048564448.0,₹800,Ent Specialist
Dr. Aniket K Shah,"Kharadi,",Ear-Nose-Throat (ENT) Specialist,96%,912071171110.0,₹1200,Ent Specialist
Dr. Ajay Kothadiya,"Shivajinagar,",Ear-Nose-Throat (ENT) Specialist,96%,912248932616.0,₹700,Ent Specialist
Dr. Amruta Ambekar,"Shivajinagar,",Ear-Nose-Throat (ENT) Specialist,100%,unavailable,₹600,Ent Specialist
Dr. Vijay Sonawane,"Deccan Gymkhana,",Ear-Nose-Throat (ENT) Specialist,81%,918037314155.0,₹605,Ent Specialist
Dr. Shirish,"Viman Nagar,",Ear-Nose-Throat (ENT) Specialist,97%,912241642341.0,₹825,Ent Specialist
Dr. Kartik Narkhede,"Baner,",Ear-Nose-Throat (ENT) Specialist,97%,912241642341.0,₹700,Ent Specialist
Dr. Rupalee Borkar,"Kharadi,",Ear-Nose-Throat (ENT) Specialist,100%,917971172077.0,₹650,Ent Specialist
Dr. Shama Shaikh,"Wanowrie,",Gastroenterologist,62%,912048556145.0,₹700,Gastroenterologist
Dr. Manoj Chandrakant Kolhe,"Bhosari,",Gastroenterologist,unavailable,917949108205.0,₹1000,Gastroenterologist
Dr. Rahul Kothari,"Aundh,",Gastroenterologist,92%,912071171022.0,₹800,Gastroenterologist
Dr. Rajendra Sathe,"Narayan Peth,",Gastroenterologist,71%,918037315753.0,₹500,Gastroenterologist
Dr. Prakash D Valse,"Pimple Saudagar,",Gastroenterologist,96%,912048564464.0,₹600,Gastroenterologist
Dr. Nachiket Dubale,"Shankar Shet Road,",Gastroenterologist,11%,912048564464.0,₹1000,Gastroenterologist
Dr. Ujwal Zambare,"Pimpri-Chinchwad,",Gastroenterologist,87%,917969141862.0,₹800,Gastroenterologist
Dr. Lalit Shimpi,"Deccan Gymkhana,",Gastroenterologist,97%,912241642329.0,₹1500,Gastroenterologist
Dr. Harshwardhan Dongre,"Kothrud,",Gastroenterologist,100%,917969141623.0,₹800,Gastroenterologist
Dr. Yogesh Bade,"Pimpri-Chinchwad,",Gastroenterologist,67%,912071173194.0,₹1000,Gastroenterologist
Dr. Shailaja Desai,"Sopan Baug,",General Physician,86%,912048552428.0,₹700,General Physician
Dr. N.M. Rao,"Pimple Saudagar,",General Physician,72%,912048554718.0,₹700,General Physician
Dr. Rameshwar Hudekar,"Wakad,",General Physician,88%,917941058734.0,₹700,General Physician
