hospital_name,contact_number,location,hospital_type,emergency_available,icu_available,specialties_available,latitude,longitude
Medipoint Hospital,02026683999,viman nagar,private,True,True,cardiology|orthopedic|general physician|gynecology,18.5685,73.9145
Imax Multispeciality Hospital,02027036666,wagholi,private,True,True,cardiology|orthopedic|general physician|gynecology,18.5793,73.979
Care Multispeciality Hospital Wagholi,,wagholi,private,True,False,general physician|orthopedic|gynecology,18.5805,73.978
Noble Hospital Magarpatta,,magarpatta,private,True,True,cardiology|orthopedic|neurology|gynecology,18.5167,73.9346
Villoo Poonawalla Memorial Hospital Magarpatta,,magarpatta,private,True,True,general physician|pediatrics|orthopedic,18.5175,73.9355
Jehangir Hospital Koregaon Park,,koregaon park,private,True,True,cardiology|oncology|orthopedic|urology|neurology,18.5362,73.894
Inlaks and Budhrani Hospital,02066099999,koregaon park,private,True,True,cardiology|orthopedic|general physician|gynecology,18.535,73.8955
Deenanath Mangeshkar Hospital FC Road,,fc road,private,True,True,cardiology|neurology|orthopedic|oncology|gastroenterology,18.5196,73.8409
Sassoon General Hospital FC Road,,fc road,public,True,True,general physician|orthopedic|gynecology|cardiology|neurology,18.5205,73.842
Ruby Hall Clinic Wanowrie,02066455100,nibm,private,True,True,cardiology|neurology|orthopedic|gastroenterology,18.459,73.8966
Inamdar Multispeciality Hospital,02066812222,nibm,private,True,True,general physician|cardiology|orthopedic|gynecology,18.4605,73.8955
Poona Hospital and Research Centre,02066096000,swargate,private,True,True,cardiology|orthopedic|neurology|gynecology,18.5018,73.8636
Bharati Hospital Swargate,,swargate,private,True,True,cardiology|orthopedic|general physician|gynecology,18.5005,73.8645
Deenanath Mangeshkar Hospital Karve Nagar,,karve nagar,private,True,True,cardiology|neurology|orthopedic|oncology,18.5024,73.8166
Sahyadri Hospital Karve Road,02067213000,karve nagar,private,True,True,general physician|cardiology|orthopedic,18.5035,73.8155
Sahyadri Hospital Kothrud Paud Road,,paud road,private,True,True,cardiology|orthopedic|general physician|neurology,18.5095,73.7986
City Hospital Paud Road,02025462000,paud road,private,True,False,general physician|gynecology|orthopedic,18.5105,73.7975
Sahyadri Hospital Warje,02067213000,warje,private,True,True,cardiology|orthopedic|general physician|neurology,18.4865,73.801
Mai Mangeshkar Hospital,02025340000,warje,private,True,True,cardiology|orthopedic|general physician|gynecology,18.4875,73.8
